2018-12-11T07:05:17.322+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs_shardsvr1", version: 1, protocolVersion: 1, writeConcernMajorityJournalDefault: true, members: [ { _id: 0, host: "172.17.0.9:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "172.17.0.10:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "172.17.0.11:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5bed1cb2f5c6d1cd501ce26d') } }
2018-12-11T07:05:17.322+0000 I REPL     [replexec-0] This node is 172.17.0.10:27018 in the config
2018-12-11T07:05:17.322+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-12-11T07:05:17.323+0000 I REPL     [replexec-0] Starting replication storage threads
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Connecting to 172.17.0.11:27018
2018-12-11T07:05:17.323+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:54212 #12 (1 connection now open)
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 35) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Failed to connect to 172.17.0.11:27018 - HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.11:27018 due to HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 36) to 172.17.0.11:27018, response status: HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.323+0000 I NETWORK  [conn12] received client metadata from 172.17.0.10:54212 conn12: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.323+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Connecting to 172.17.0.11:27018
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I REPL_HB  [replexec-1] Error in heartbeat (requestId: 37) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Failed to connect to 172.17.0.11:27018 - HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.11:27018 due to HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 38) to 172.17.0.11:27018, response status: HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:17.324+0000 I ASIO     [Replication] Connecting to 172.17.0.11:27018
2018-12-11T07:05:17.325+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I ASIO     [Replication] Failed to connect to 172.17.0.11:27018 - HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I REPL_HB  [replexec-1] Error in heartbeat (requestId: 40) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.11:27018 due to HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I REPL     [replexec-1] Member 172.17.0.9:27018 is now in state RS_DOWN
2018-12-11T07:05:17.325+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 41) to 172.17.0.11:27018, response status: HostUnreachable: Error connecting to 172.17.0.11:27018 :: caused by :: Connection refused
2018-12-11T07:05:17.325+0000 I REPL     [replexec-2] Member 172.17.0.11:27018 is now in state RS_DOWN
2018-12-11T07:05:17.342+0000 I REPL     [replexec-0] transition to RECOVERING from STARTUP2
2018-12-11T07:05:17.342+0000 I REPL     [replexec-0] Starting replication fetcher thread
2018-12-11T07:05:17.342+0000 I REPL     [replexec-0] Starting replication applier thread
2018-12-11T07:05:17.342+0000 I REPL     [replexec-0] Starting replication reporter thread
2018-12-11T07:05:17.342+0000 I REPL     [rsSync-0] Starting oplog application
2018-12-11T07:05:17.342+0000 I REPL     [rsSync-0] transition to SECONDARY from RECOVERING
2018-12-11T07:05:17.343+0000 I REPL     [rsSync-0] Resetting sync source to empty, which was :27017
2018-12-11T07:05:17.343+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:33264 #13 (2 connections now open)
2018-12-11T07:05:17.344+0000 I ACCESS   [conn12] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.345+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.10:27018 (1 connections now open to 172.17.0.10:27018 with a 5 second timeout)
2018-12-11T07:05:17.345+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:17.362+0000 I ACCESS   [conn13] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.363+0000 I NETWORK  [conn13] end connection 172.17.0.9:33264 (1 connection now open)
2018-12-11T07:05:17.364+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:33268 #14 (2 connections now open)
2018-12-11T07:05:17.364+0000 I NETWORK  [listener] connection accepted from 172.17.0.9:33270 #15 (3 connections now open)
2018-12-11T07:05:17.365+0000 I NETWORK  [conn15] received client metadata from 172.17.0.9:33270 conn15: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.365+0000 I NETWORK  [conn14] received client metadata from 172.17.0.9:33268 conn14: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.366+0000 I ACCESS   [conn15] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.366+0000 I ACCESS   [conn14] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.413+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:33876 #16 (4 connections now open)
2018-12-11T07:05:17.415+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:33880 #17 (5 connections now open)
2018-12-11T07:05:17.416+0000 I NETWORK  [conn17] received client metadata from 172.17.0.11:33880 conn17: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.428+0000 I ACCESS   [conn16] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.428+0000 I NETWORK  [conn16] end connection 172.17.0.11:33876 (4 connections now open)
2018-12-11T07:05:17.430+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:33884 #18 (5 connections now open)
2018-12-11T07:05:17.430+0000 I NETWORK  [conn18] received client metadata from 172.17.0.11:33884 conn18: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:17.431+0000 I ACCESS   [conn17] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.431+0000 I ACCESS   [conn18] Successfully authenticated as principal __system on local
2018-12-11T07:05:17.825+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-11T07:05:17.825+0000 I ASIO     [Replication] Connecting to 172.17.0.11:27018
2018-12-11T07:05:17.847+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.11:27018 (1 connections now open to 172.17.0.11:27018 with a 5 second timeout)
2018-12-11T07:05:17.847+0000 I REPL     [replexec-0] Member 172.17.0.9:27018 is now in state SECONDARY
2018-12-11T07:05:17.847+0000 I REPL     [replexec-2] Member 172.17.0.11:27018 is now in state SECONDARY
